id,user,movie,rating
5186_589,5186,589,4
5659_798,5659,798,4
2929_858,2929,858,5
4412_736,4412,736,3
4447_1597,4447,1597,2
3651_1589,3651,1589,3
4072_1262,4072,1262,5
5741_1299,5741,1299,3
5516_2881,5516,2881,4
4786_2433,4786,2433,3
4014_2688,4014,2688,1
3442_1197,3442,1197,3
5569_3705,5569,3705,3
4415_3623,4415,3623,3
3128_1291,3128,1291,3
5463_3035,5463,3035,3
5767_3087,5767,3087,4
5365_2598,5365,2598,4
4379_1673,4379,1673,3
4606_2432,4606,2432,4
4461_1566,4461,1566,4
3284_2858,3284,2858,5
2995_2139,2995,2139,5
5118_648,5118,648,3
3493_2804,3493,2804,4
4748_1544,4748,1544,3
5574_2288,5574,2288,5
5233_850,5233,850,2
3806_1604,3806,1604,4
3292_1017,3292,1017,4
3779_838,3779,838,3
3716_380,3716,380,2
3224_1089,3224,1089,4
4952_58,4952,58,4
3841_1120,3841,1120,5
3627_1732,3627,1732,5
4422_1339,4422,1339,4
3281_3361,3281,3361,3
5763_2300,5763,2300,4
3340_2644,3340,2644,4
5916_240,5916,240,3
4801_3704,4801,3704,5
4430_2283,4430,2283,3
4085_3623,4085,3623,4
3789_47,3789,47,5
3328_3771,3328,3771,4
5858_3083,5858,3083,5
4451_1095,4451,1095,4
3081_1380,3081,1380,5
3669_21,3669,21,3
5868_858,5868,858,5
5659_1197,5659,1197,3
4961_2268,4961,2268,5
4355_1917,4355,1917,2
5737_2150,5737,2150,5
4482_164,4482,164,4
3418_345,3418,345,4
2955_1094,2955,1094,2
5153_34,5153,34,4
4058_2916,4058,2916,3
3925_3081,3925,3081,4
3841_3247,3841,3247,3
4058_1372,4058,1372,3
4886_2712,4886,2712,4
4150_923,4150,923,4
2810_2413,2810,2413,5
3111_2422,3111,2422,1
5055_3742,5055,3742,4
5747_1580,5747,1580,4
4957_1376,4957,1376,4
4988_352,4988,352,3
3265_380,3265,380,4
3336_1626,3336,1626,1
3499_3070,3499,3070,3
5638_3270,5638,3270,3
3588_2186,3588,2186,4
5744_3358,5744,3358,3
5604_1586,5604,1586,4
4425_3798,4425,3798,4
5634_185,5634,185,3
5316_2628,5316,2628,3
3546_3093,3546,3093,3
3482_1573,3482,1573,4
5890_3077,5890,3077,5
5851_1269,5851,1269,5
5511_474,5511,474,5
5779_748,5779,748,4
3829_223,3829,223,4
4344_2289,4344,2289,4
3118_3155,3118,3155,4
4605_1178,4605,1178,4
3945_3210,3945,3210,2
2909_933,2909,933,5
3712_1584,3712,1584,4
4953_314,4953,314,4
5574_2174,5574,2174,5
5893_471,5893,471,5
5449_1722,5449,1722,5
3808_1007,3808,1007,3
3265_481,3265,481,3
5880_1094,5880,1094,3
3197_265,3197,265,3
3646_610,3646,610,4
3539_2478,3539,2478,5
5256_1015,5256,1015,4
3719_2761,3719,2761,5
3383_2959,3383,2959,2
3706_1371,3706,1371,1
4060_1259,4060,1259,5
4929_3082,4929,3082,4
3579_1376,3579,1376,2
4507_2628,4507,2628,4
3428_1084,3428,1084,5
5795_5,5795,5,3
4422_2706,4422,2706,4
4543_2073,4543,2073,3
2865_3707,2865,3707,2
3653_1275,3653,1275,4
5074_17,5074,17,5
2966_1909,2966,1909,5
4802_3418,4802,3418,5
3519_3528,3519,3528,2
5260_1198,5260,1198,5
4469_2692,4469,2692,4
5033_1951,5033,1951,5
2887_474,2887,474,4
4379_1676,4379,1676,4
4990_1734,4990,1734,5
5042_1206,5042,1206,5
5759_3098,5759,3098,3
3562_3270,3562,3270,5
3853_2402,3853,2402,3
2996_368,2996,368,3
5112_2719,5112,2719,2
5367_2422,5367,2422,1
4335_2429,4335,2429,3
3837_2804,3837,2804,5
4150_3682,4150,3682,4
5124_2970,5124,2970,3
4169_3932,4169,3932,5
4568_2959,4568,2959,5
3205_3255,3205,3255,3
3884_3526,3884,3526,3
5788_216,5788,216,2
4233_2948,4233,2948,3
4651_206,4651,206,5
4976_3190,4976,3190,2
5248_3516,5248,3516,1
4179_2266,4179,2266,5
5795_1833,5795,1833,1
5963_1242,5963,1242,4
3678_2377,3678,2377,2
4286_899,4286,899,5
3036_1061,3036,1061,5
3031_1057,3031,1057,4
5609_923,5609,923,5
3252_3176,3252,3176,1
5429_2739,5429,2739,4
5015_2988,5015,2988,3
5568_405,5568,405,5
3929_2028,3929,2028,5
3081_2991,3081,2991,4
4928_140,4928,140,2
3539_1663,3539,1663,5
5531_1527,5531,1527,4
3095_1556,3095,1556,1
5806_3067,5806,3067,5
3224_3441,3224,3441,4
5433_1246,5433,1246,4
5978_2948,5978,2948,1
5511_1370,5511,1370,4
4927_1396,4927,1396,3
3503_2421,3503,2421,3
4615_2841,4615,2841,2
5397_1207,5397,1207,4
5812_261,5812,261,3
5256_1721,5256,1721,5
